yourlist:M20220122F248CABF64506F29A91F8037F07B67D13DFE271	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs
RMX42616.1	A0A3M6TMP5	A0A3M6TMP5_POCDA	unreviewed	AIG1-type G domain-containing protein	pdam_00025321	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	337	GTP binding [GO:0005525]	GO:0005525
RUS83553.1	A0A433TPM2	A0A433TPM2_ELYCH	unreviewed	Uncharacterized protein	EGW08_008659	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	659		
PFX23193.1	A0A2B4S2C2	A0A2B4S2C2_STYPI	unreviewed	Tolloid-like protein 2	Tll2 AWC38_SpisGene12284	Stylophora pistillata (Smooth cauliflower coral)	644		
PFX11471.1	A0A2B4R1E3	A0A2B4R1E3_STYPI	unreviewed	Tetratricopeptide repeat protein 28 (Fragment)	TTC28 AWC38_SpisGene24781	Stylophora pistillata (Smooth cauliflower coral)	846		
EDO36381.1	A7SIQ5	A7SIQ5_NEMVE	unreviewed	Predicted protein	v1g212894	Nematostella vectensis (Starlet sea anemone)	296		
CAF4944106.1	A0A821XIZ2	A0A821XIZ2_9BILA	unreviewed	Hypothetical protein (Fragment)	BAC187_LOCUS29069	Rotaria sp. Silwood1	1151		
PFX15212.1	A0A2B4RG22	A0A2B4RG22_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene20577	Stylophora pistillata (Smooth cauliflower coral)	708		
PFX25561.1	A0A2B4S6M6	A0A2B4S6M6_STYPI	unreviewed	Integrase/recombinase xerD-like	xerD AWC38_SpisGene9806	Stylophora pistillata (Smooth cauliflower coral)	434	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074
RMX45655.1	A0A3M6TW72	A0A3M6TW72_POCDA	unreviewed	Alpha-L-fucosidase (EC 3.2.1.51)	pdam_00020734	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	941	alpha-L-fucosidase activity [GO:0004560]; fucose metabolic process [GO:0006004]	GO:0004560; GO:0006004
EDO40881.1	A7S5X6	A7S5X6_NEMVE	unreviewed	Predicted protein	v1g207297	Nematostella vectensis (Starlet sea anemone)	238		
RMX56618.1	A0A3M6UTG8	A0A3M6UTG8_POCDA	unreviewed	Uncharacterized protein	pdam_00002352	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	287	integral component of membrane [GO:0016021]	GO:0016021
PFX20060.1	A0A2B4RU33	A0A2B4RU33_STYPI	unreviewed	NB-ARC domain-containing protein	AWC38_SpisGene15507	Stylophora pistillata (Smooth cauliflower coral)	630	ADP binding [GO:0043531]	GO:0043531
PFX24384.1	A0A2B4S125	A0A2B4S125_STYPI	unreviewed	Transposon Tf2-11 polyprotein	Tf2-11 AWC38_SpisGene11009	Stylophora pistillata (Smooth cauliflower coral)	693	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074
RMX44941.1	A0A3M6TUC9	A0A3M6TUC9_POCDA	unreviewed	Uncharacterized protein	pdam_00017090	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	502	integral component of membrane [GO:0016021]; N-acetyltransferase activity [GO:0008080]	GO:0008080; GO:0016021
PNI82334.1	A0A2J8PE89	A0A2J8PE89_PANTR	unreviewed	Poly [ADP-ribose] polymerase (PARP) (EC 2.4.2.-)	CK820_G0004318	Pan troglodytes (Chimpanzee)	1054	NAD+ ADP-ribosyltransferase activity [GO:0003950]	GO:0003950
AGS57596.1	S5UK85	S5UK85_MERMT	unreviewed	Cysteine-rich intestinal protein		Meretrix meretrix (Asiatic hard clam) (Venus meretrix)	78	metal ion binding [GO:0046872]	GO:0046872
RMX57649.1	A0A3M6UVM8	A0A3M6UVM8_POCDA	unreviewed	40S ribosomal protein S11	pdam_00015892	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	162	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412
RMX58416.1	A0A3M6UXK3	A0A3M6UXK3_POCDA	unreviewed	Uncharacterized protein	pdam_00025236	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	367		
PFX25467.1	A0A2B4SA55	A0A2B4SA55_STYPI	unreviewed	RNA-directed DNA polymerase from mobile element jockey	pol AWC38_SpisGene9890	Stylophora pistillata (Smooth cauliflower coral)	818	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; RNA-directed DNA polymerase activity [GO:0003964]; cell surface receptor signaling pathway [GO:0007166]	GO:0003964; GO:0004930; GO:0007166; GO:0016021
PFX15448.1	A0A2B4RGE4	A0A2B4RGE4_STYPI	unreviewed	Putative RNA-directed DNA polymerase from transposon BS	RTase AWC38_SpisGene20336	Stylophora pistillata (Smooth cauliflower coral)	1128	extracellular matrix structural constituent [GO:0005201]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964; GO:0005201
PFX33002.1	A0A2B4SWP5	A0A2B4SWP5_STYPI	unreviewed	Retrovirus-related Pol polyprotein from transposon TNT 1-94	AWC38_SpisGene2112	Stylophora pistillata (Smooth cauliflower coral)	555	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074
RMX46588.1	A0A3M6TZ96	A0A3M6TZ96_POCDA	unreviewed	Dynein light chain roadblock	pdam_00019718	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	97	cytoplasm [GO:0005737]; cytoplasmic dynein complex [GO:0005868]; microtubule [GO:0005874]; dynein intermediate chain binding [GO:0045505]; microtubule-based movement [GO:0007018]	GO:0005737; GO:0005868; GO:0005874; GO:0007018; GO:0045505
RMX44832.1	A0A3M6TTU3	A0A3M6TTU3_POCDA	unreviewed	Uncharacterized protein	pdam_00009293	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	6002	lipid transporter activity [GO:0005319]; nutrient reservoir activity [GO:0045735]	GO:0005319; GO:0045735
RMX55480.1	A0A3M6UPC0	A0A3M6UPC0_POCDA	unreviewed	DNA-directed DNA polymerase (EC 2.7.7.7)	pdam_00013318	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	2331	nucleus [GO:0005634]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; hydrolase activity [GO:0016787]; RNA helicase activity [GO:0003724]; DNA-dependent DNA replication [GO:0006261]	GO:0003677; GO:0003724; GO:0003887; GO:0005524; GO:0005634; GO:0006261; GO:0016787
PFX12959.1	A0A2B4R7Z7	A0A2B4R7Z7_STYPI	unreviewed	Latrophilin-like protein LAT-2 (Fragment)	lat-2 AWC38_SpisGene23004	Stylophora pistillata (Smooth cauliflower coral)	358	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021
PFX17719.1	A0A2B4RLM6	A0A2B4RLM6_STYPI	unreviewed	Putative ATP-dependent RNA helicase DDX60	DDX60 AWC38_SpisGene17945	Stylophora pistillata (Smooth cauliflower coral)	2256	ATP binding [GO:0005524]; helicase activity [GO:0004386]; nucleic acid binding [GO:0003676]; signal transduction [GO:0007165]	GO:0003676; GO:0004386; GO:0005524; GO:0007165
PFX32757.1	A0A2B4SWD9	A0A2B4SWD9_STYPI	unreviewed	Retinol dehydrogenase 12	Rdh12 AWC38_SpisGene2375	Stylophora pistillata (Smooth cauliflower coral)	846	oxidoreductase activity [GO:0016491]	GO:0016491
ETR68585.1	A0A1V1P1G3	A0A1V1P1G3_9DELT	unreviewed	NHL repeat containing protein	OMM_04479	Candidatus Magnetoglobus multicellularis str. Araruama	1096		
EDO48233.1	A7RKE9	A7RKE9_NEMVE	unreviewed	Predicted protein	v1g198399	Nematostella vectensis (Starlet sea anemone)	301	cytoplasm [GO:0005737]; nucleus [GO:0005634]; protein phosphatase 4 complex [GO:0030289]; protein phosphatase regulator activity [GO:0019888]; protein dephosphorylation [GO:0006470]	GO:0005634; GO:0005737; GO:0006470; GO:0019888; GO:0030289
VTJ82580.1	A0A5E4CMK5	A0A5E4CMK5_MARMO	unreviewed	Uncharacterized protein	MONAX_5E013784	Marmota monax (Woodchuck)	414	integral component of membrane [GO:0016021]	GO:0016021
VDH89564.1	A0A8B6BFA8	A0A8B6BFA8_MYTGA	unreviewed	Uncharacterized protein	MGAL_10B059754	Mytilus galloprovincialis (Mediterranean mussel)	1009		
PFX33739.1	A0A2B4SX29	A0A2B4SX29_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene1333	Stylophora pistillata (Smooth cauliflower coral)	750		
PFX18970.1	A0A2B4RQZ2	A0A2B4RQZ2_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene16654	Stylophora pistillata (Smooth cauliflower coral)	323		
RMX51464.1	A0A3M6UD76	A0A3M6UD76_POCDA	unreviewed	Cytochrome c domain-containing protein	pdam_00018807	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	319	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	GO:0005743; GO:0009055; GO:0016021; GO:0020037; GO:0046872
VDI18619.1	A0A8B6DGI2	A0A8B6DGI2_MYTGA	unreviewed	Uncharacterized protein	MGAL_10B090868	Mytilus galloprovincialis (Mediterranean mussel)	476		
RMX47004.1	A0A3M6U0E6	A0A3M6U0E6_POCDA	unreviewed	Uncharacterized protein (Fragment)	pdam_00009614	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	263		
PFX28225.1	A0A2B4SIE3	A0A2B4SIE3_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene7031	Stylophora pistillata (Smooth cauliflower coral)	247		
PFX17147.1	A0A2B4RLB5	A0A2B4RLB5_STYPI	unreviewed	Putative RNA-directed DNA polymerase from transposon X-element	AWC38_SpisGene18551	Stylophora pistillata (Smooth cauliflower coral)	290	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964
RMX38780.1	A0A3M6TBN6	A0A3M6TBN6_POCDA	unreviewed	Uncharacterized protein	pdam_00022100	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	98		
PFX14011.1	A0A2B4R8P0	A0A2B4R8P0_STYPI	unreviewed	Eukaryotic elongation factor 2 kinase	efk-1 AWC38_SpisGene21868	Stylophora pistillata (Smooth cauliflower coral)	291	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; translation elongation factor activity [GO:0003746]	GO:0003746; GO:0004674; GO:0005524
RMX61110.1	A0A3M6V5F4	A0A3M6V5F4_POCDA	unreviewed	Uncharacterized protein	pdam_00010559	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	406		
RMX49139.1	A0A3M6U6F1	A0A3M6U6F1_POCDA	unreviewed	Uncharacterized protein	pdam_00003948	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	117		
ELW62286.1	L9KHS9	L9KHS9_TUPCH	unreviewed	Uncharacterized protein	TREES_T100003159	Tupaia chinensis (Chinese tree shrew)	164		
RMX54217.1	A0A3M6UKM1	A0A3M6UKM1_POCDA	unreviewed	Uncharacterized protein	pdam_00013660	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	90		
RMX40063.1	A0A3M6TF97	A0A3M6TF97_POCDA	unreviewed	40S ribosomal protein S28	pdam_00002335	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	167	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412
RMX56934.1	A0A3M6UTN9	A0A3M6UTN9_POCDA	unreviewed	Uncharacterized protein	pdam_00011060	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	621		
RMX41718.1	A0A3M6TKB1	A0A3M6TKB1_POCDA	unreviewed	Uncharacterized protein	pdam_00020240	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	300	integral component of membrane [GO:0016021]; symporter activity [GO:0015293]	GO:0015293; GO:0016021
RMX38122.1	A0A3M6T9R3	A0A3M6T9R3_POCDA	unreviewed	Metalloendopeptidase (EC 3.4.24.-) (Fragment)	pdam_00003070	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	432	membrane [GO:0016020]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	GO:0004222; GO:0008270; GO:0016020
RMX60169.1	A0A3M6V2Y4	A0A3M6V2Y4_POCDA	unreviewed	Anaphase-promoting complex subunit CDC26 (Cell division cycle protein 26 homolog)	pdam_00010118	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	81	anaphase-promoting complex [GO:0005680]; anaphase-promoting complex-dependent catabolic process [GO:0031145]; regulation of mitotic metaphase/anaphase transition [GO:0030071]	GO:0005680; GO:0030071; GO:0031145
RMX56185.1	A0A3M6URB0	A0A3M6URB0_POCDA	unreviewed	Uncharacterized protein	pdam_00022236	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	599	integral component of membrane [GO:0016021]	GO:0016021
PFX14666.1	A0A2B4RBZ6	A0A2B4RBZ6_STYPI	unreviewed	Receptor-type tyrosine-protein kinase FLT3	FLT3 AWC38_SpisGene21157	Stylophora pistillata (Smooth cauliflower coral)	297	ATP binding [GO:0005524]; protein tyrosine kinase activity [GO:0004713]	GO:0004713; GO:0005524
RMX49676.1	A0A3M6U7W7	A0A3M6U7W7_POCDA	unreviewed	Uncharacterized protein	pdam_00002991	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	2728	calcium ion binding [GO:0005509]	GO:0005509
CAD5112562.1	A0A7I8V8K4	A0A7I8V8K4_9ANNE	unreviewed	2-oxoisovalerate dehydrogenase subunit alpha (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component alpha chain)	DGYR_LOCUS1684	Dimorphilus gyrociliatus	568	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity [GO:0003863]; branched-chain amino acid catabolic process [GO:0009083]	GO:0003863; GO:0009083
RMX56688.1	A0A3M6UTP0	A0A3M6UTP0_POCDA	unreviewed	Uncharacterized protein	pdam_00024550	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	182		
OWF56253.1	A0A210R5D6	A0A210R5D6_MIZYE	unreviewed	Zonadhesin	KP79_PYT00080	Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis)	591		
KAE8285566.1	A0A6G0I2Y0	A0A6G0I2Y0_LARCR	unreviewed	Uncharacterized protein	D5F01_LYC17024	Larimichthys crocea (Large yellow croaker) (Pseudosciaena crocea)	496		
PFX28046.1	A0A2B4SF93	A0A2B4SF93_STYPI	unreviewed	Melanocortin receptor 5	MC5R AWC38_SpisGene7230	Stylophora pistillata (Smooth cauliflower coral)	351	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021
VDH97857.1	A0A8B6C057	A0A8B6C057_MYTGA	unreviewed	Uncharacterized protein	MGAL_10B022062	Mytilus galloprovincialis (Mediterranean mussel)	410		
PFX22891.1	A0A2B4RZ30	A0A2B4RZ30_STYPI	unreviewed	Tetratricopeptide repeat protein 28	TTC28 AWC38_SpisGene12584	Stylophora pistillata (Smooth cauliflower coral)	1918		
RMX45811.1	A0A3M6TWS6	A0A3M6TWS6_POCDA	unreviewed	APOBEC_N domain-containing protein (Fragment)	pdam_00023172	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	974	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines [GO:0016814]; zinc ion binding [GO:0008270]	GO:0008270; GO:0016814
RMX42131.1	A0A3M6TLG9	A0A3M6TLG9_POCDA	unreviewed	Uncharacterized protein	pdam_00001244	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	397		
PFX33895.1	A0A2B4SZT4	A0A2B4SZT4_STYPI	unreviewed	DnaJ-like subfamily C member 5B	DNAJC5B AWC38_SpisGene1086	Stylophora pistillata (Smooth cauliflower coral)	1106	Hsp70 protein binding [GO:0030544]; protein folding [GO:0006457]	GO:0006457; GO:0030544
KAG2448760.1	A0A836B690	A0A836B690_9CHLO	unreviewed	Uncharacterized protein	HYH02_006114	Chlamydomonas schloesseri	2404		
RMX38385.1	A0A3M6TAH1	A0A3M6TAH1_POCDA	unreviewed	Uncharacterized protein	pdam_00011806	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	628	mitochondrial outer membrane [GO:0005741]	GO:0005741
KPP71573.1	A0A0P7YUP5	A0A0P7YUP5_SCLFO	unreviewed	RNA helicase (EC 3.6.4.13)	Z043_109495	Scleropages formosus (Asian bonytongue) (Osteoglossum formosum)	357	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; RNA helicase activity [GO:0003724]; translation initiation factor activity [GO:0003743]	GO:0003724; GO:0003743; GO:0005524; GO:0016787
OYV37406.1	A0A257PP85	A0A257PP85_9PROT	unreviewed	VRR-NUC domain-containing protein	B7Z80_12950	Rhodospirillales bacterium 20-64-7	138	nuclease activity [GO:0004518]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0004518
RMX46894.1	A0A3M6U030	A0A3M6U030_POCDA	unreviewed	Uncharacterized protein	pdam_00014507	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1033	integral component of membrane [GO:0016021]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]	GO:0004222; GO:0016021; GO:0046872
KZS11089.1	A0A164U5Y5	A0A164U5Y5_9CRUS	unreviewed	Histone H3.2	APZ42_023810	Daphnia magna	156	nucleosome [GO:0000786]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]	GO:0000786; GO:0003677; GO:0046982
RMX55912.1	A0A3M6UQI6	A0A3M6UQI6_POCDA	unreviewed	Dimer_Tnp_hAT domain-containing protein	pdam_00006247	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	307	protein dimerization activity [GO:0046983]	GO:0046983
PFX13329.1	A0A2B4R942	A0A2B4R942_STYPI	unreviewed	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	Ankrd28 AWC38_SpisGene22593	Stylophora pistillata (Smooth cauliflower coral)	2392	regulation of apoptotic process [GO:0042981]	GO:0042981
PFX33846.1	A0A2B4SWY5	A0A2B4SWY5_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene1281	Stylophora pistillata (Smooth cauliflower coral)	234	integral component of membrane [GO:0016021]	GO:0016021
RMX40737.1	A0A3M6TH69	A0A3M6TH69_POCDA	unreviewed	Uncharacterized protein	pdam_00015968	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	283		
RMX38350.1	A0A3M6TAC1	A0A3M6TAC1_POCDA	unreviewed	Uncharacterized protein	pdam_00005510	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	3287	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; G protein-coupled receptor activity [GO:0004930]; heparin binding [GO:0008201]; protein kinase activity [GO:0004672]; cell differentiation [GO:0030154]; nervous system development [GO:0007399]	GO:0004672; GO:0004930; GO:0005524; GO:0005886; GO:0007399; GO:0008201; GO:0016021; GO:0030154
PIK36816.1	A0A2G8JM22	A0A2G8JM22_STIJA	unreviewed	Uncharacterized protein	BSL78_26343	Stichopus japonicus (Sea cucumber)	304		
PFX14010.1	A0A2B4RBX5	A0A2B4RBX5_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene21867	Stylophora pistillata (Smooth cauliflower coral)	867	regulation of apoptotic process [GO:0042981]	GO:0042981
PFX11146.1	A0A2B4R1R6	A0A2B4R1R6_STYPI	unreviewed	Transposon TX1 uncharacterized 149 kDa protein (Fragment)	AWC38_SpisGene25341	Stylophora pistillata (Smooth cauliflower coral)	531		
CAE6968944.1	A0A812I354	A0A812I354_9DINO	unreviewed	OlpB protein	olpB SNAT2548_LOCUS2390	Symbiodinium natans	2197		
RMX52485.1	A0A3M6UFS2	A0A3M6UFS2_POCDA	unreviewed	Uncharacterized protein (Fragment)	pdam_00013777	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1849		
RUA04365.1	A0A432I2B0	A0A432I2B0_9GAMM	unreviewed	Reverse transcriptase domain-containing protein	DSY43_06480	Gammaproteobacteria bacterium	599		
PFX12144.1	A0A2B4R192	A0A2B4R192_STYPI	unreviewed	Nephrocystin-3	NPHP3 AWC38_SpisGene23943	Stylophora pistillata (Smooth cauliflower coral)	807		
PFX31817.1	A0A2B4STK3	A0A2B4STK3_STYPI	unreviewed	Putative RNA-directed DNA polymerase from transposon BS	RTase AWC38_SpisGene3375	Stylophora pistillata (Smooth cauliflower coral)	887	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964
PFX19842.1	A0A2B4RUD8	A0A2B4RUD8_STYPI	unreviewed	Intraflagellar transport protein 74-like	Ift74 AWC38_SpisGene15733	Stylophora pistillata (Smooth cauliflower coral)	631	intraciliary transport particle B [GO:0030992]; motile cilium [GO:0031514]; beta-tubulin binding [GO:0048487]; cilium assembly [GO:0060271]; intraciliary transport [GO:0042073]	GO:0030992; GO:0031514; GO:0042073; GO:0048487; GO:0060271
RMX57532.1	A0A3M6UV36	A0A3M6UV36_POCDA	unreviewed	Uncharacterized protein	pdam_00005814	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	161	cysteine-type endopeptidase inhibitor activity [GO:0004869]	GO:0004869
RMX61102.1	A0A3M6V5A4	A0A3M6V5A4_POCDA	unreviewed	Uncharacterized protein	pdam_00010553	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1212		
KAF6041376.1	A0A7J7KT40	A0A7J7KT40_BUGNE	unreviewed	Uncharacterized protein	EB796_000330	Bugula neritina (Brown bryozoan) (Sertularia neritina)	3864	integral component of membrane [GO:0016021]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0016021
RMX40247.1	A0A3M6TFR8	A0A3M6TFR8_POCDA	unreviewed	Uncharacterized protein (Fragment)	pdam_00014355	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	550	integral component of membrane [GO:0016021]	GO:0016021
PFX16143.1	A0A2B4RH42	A0A2B4RH42_STYPI	unreviewed	THAP-type domain-containing protein	AWC38_SpisGene19597	Stylophora pistillata (Smooth cauliflower coral)	442	DNA binding [GO:0003677]; metal ion binding [GO:0046872]	GO:0003677; GO:0046872
PFX33910.1	A0A2B4SYF0	A0A2B4SYF0_STYPI	unreviewed	Neuropeptide Y receptor	RYa-R AWC38_SpisGene1140	Stylophora pistillata (Smooth cauliflower coral)	759	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021
RMX36626.1	A0A3M6T5B8	A0A3M6T5B8_POCDA	unreviewed	Adenylate kinase isoenzyme 6 homolog (AK6) (EC 2.7.4.3) (Dual activity adenylate kinase/ATPase) (AK/ATPase)	pdam_00014987	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	184	nucleus [GO:0005634]; adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]	GO:0004017; GO:0005524; GO:0005634
RMX60353.1	A0A3M6V323	A0A3M6V323_POCDA	unreviewed	Uncharacterized protein	pdam_00021557	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1840		
PFX33626.1	A0A2B4SWA7	A0A2B4SWA7_STYPI	unreviewed	Dual specificity protein kinase shkA	shkA AWC38_SpisGene1498	Stylophora pistillata (Smooth cauliflower coral)	3895	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524; GO:0016021
RMX44985.1	A0A3M6TU97	A0A3M6TU97_POCDA	unreviewed	Uncharacterized protein	pdam_00017365	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	2038	integral component of membrane [GO:0016021]	GO:0016021
EDO31600.1	A7SXG2	A7SXG2_NEMVE	unreviewed	Predicted protein	v1g219019	Nematostella vectensis (Starlet sea anemone)	721		
RMX48525.1	A0A3M6U4B3	A0A3M6U4B3_POCDA	unreviewed	Uncharacterized protein	pdam_00008498	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1134	protein homooligomerization [GO:0051260]	GO:0051260
RMX45282.1	A0A3M6TV70	A0A3M6TV70_POCDA	unreviewed	Uncharacterized protein	pdam_00000769	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	3700		
PFX16599.1	A0A2B4RIG4	A0A2B4RIG4_STYPI	unreviewed	Serine/threonine-protein kinase pim-1	Pim1 AWC38_SpisGene19120	Stylophora pistillata (Smooth cauliflower coral)	791	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524
RMX50804.1	A0A3M6UBB1	A0A3M6UBB1_POCDA	unreviewed	Uncharacterized protein	pdam_00003172	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	412		
PFX23368.1	A0A2B4S487	A0A2B4S487_STYPI	unreviewed	NADPH--hemoprotein reductase (EC 1.6.2.4)	AWC38_SpisGene12056	Stylophora pistillata (Smooth cauliflower coral)	656	endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; FMN binding [GO:0010181]; NADPH-hemoprotein reductase activity [GO:0003958]	GO:0003958; GO:0005783; GO:0010181; GO:0016021
PFX34283.1	A0A2B4SYW4	A0A2B4SYW4_STYPI	unreviewed	Histone acetyltransferase (EC 2.3.1.48)	CREBBP AWC38_SpisGene764	Stylophora pistillata (Smooth cauliflower coral)	2223	cytoplasm [GO:0005737]; histone acetyltransferase complex [GO:0000123]; histone acetyltransferase activity [GO:0004402]; transcription coactivator activity [GO:0003713]; zinc ion binding [GO:0008270]; rhythmic process [GO:0048511]	GO:0000123; GO:0003713; GO:0004402; GO:0005737; GO:0008270; GO:0048511
PFX16673.1	A0A2B4RIN9	A0A2B4RIN9_STYPI	unreviewed	ATP-dependent DNA helicase (EC 3.6.4.12)	Pif1 AWC38_SpisGene19042	Stylophora pistillata (Smooth cauliflower coral)	479	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0140603]; DNA helicase activity [GO:0003678]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; telomere maintenance [GO:0000723]	GO:0000723; GO:0003678; GO:0005524; GO:0006281; GO:0006310; GO:0140603
PFX14550.1	A0A2B4RDJ4	A0A2B4RDJ4_STYPI	unreviewed	Protein-tyrosine sulfotransferase (EC 2.8.2.20)	AWC38_SpisGene21281	Stylophora pistillata (Smooth cauliflower coral)	489	integral component of membrane [GO:0016021]; protein-tyrosine sulfotransferase activity [GO:0008476]; peptidyl-tyrosine sulfation [GO:0006478]	GO:0006478; GO:0008476; GO:0016021
PFX15902.1	A0A2B4RI22	A0A2B4RI22_STYPI	unreviewed	Retrovirus-related Pol polyprotein from transposon 17.6	pol AWC38_SpisGene19862	Stylophora pistillata (Smooth cauliflower coral)	1213	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270
PFX30083.1	A0A2B4SLY8	A0A2B4SLY8_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene5138	Stylophora pistillata (Smooth cauliflower coral)	340		
ATZ81219.1	A0A2H4UWK9	A0A2H4UWK9_9VIRU	unreviewed	BRO-N domain-containing GIY-YIG nuclease	BMW23_1176	Bodo saltans virus	286		
