yourlist:M20220121A084FC58F6BBA219896F365D15F2EB443D8165V	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs
XP_031564301.1	A0A6P8IAR4	A0A6P8IAR4_ACTTE	unreviewed	phosphatidylinositol 4-kinase alpha-like	LOC116299722	Actinia tenebrosa (Australian red waratah sea anemone)	1981	kinase activity [GO:0016301]; phosphatidylinositol phosphate biosynthetic process [GO:0046854]; phosphatidylinositol-mediated signaling [GO:0048015]	GO:0016301; GO:0046854; GO:0048015
XP_020661024.1	A0A6J0US75	A0A6J0US75_9SAUR	unreviewed	dentin sialophosphoprotein-like	LOC110085322	Pogona vitticeps (central bearded dragon)	1175		
XP_026110961.1	A0A6P6NR97	A0A6P6NR97_CARAU	unreviewed	ankyrin-1-like isoform X3	LOC113085510	Carassius auratus (Goldfish)	1997	cytoskeleton [GO:0005856]; membrane [GO:0016020]; signal transduction [GO:0007165]	GO:0005856; GO:0007165; GO:0016020
XP_031560189.1	A0A6P8HUT9	A0A6P8HUT9_ACTTE	unreviewed	uncharacterized protein LOC116296304	LOC116296304	Actinia tenebrosa (Australian red waratah sea anemone)	2214		
XP_014041811.1	A0A1S3QPA6	A0A1S3QPA6_SALSA	unreviewed	DNA-directed RNA polymerase II subunit RPB1	LOC106594950	Salmo salar (Atlantic salmon)	348	DNA-directed 5'-3' RNA polymerase activity [GO:0003899]	GO:0003899
XP_031569994.1	A0A6P8ISN2	A0A6P8ISN2_ACTTE	unreviewed	radial spoke head protein 3 homolog	LOC116304404	Actinia tenebrosa (Australian red waratah sea anemone)	395	cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]	GO:0005737; GO:0005856; GO:0042995
XP_031574076.1	A0A6P8J295	A0A6P8J295_ACTTE	unreviewed	fibronectin type 3 and ankyrin repeat domains protein 1-like	LOC116307896	Actinia tenebrosa (Australian red waratah sea anemone)	365		
XP_031571695.1	A0A6P8J1V0	A0A6P8J1V0_ACTTE	unreviewed	[Histone H3]-trimethyl-L-lysine(4) demethylase (EC 1.14.11.67)	LOC116305844	Actinia tenebrosa (Australian red waratah sea anemone)	1599	nucleus [GO:0005634]; dioxygenase activity [GO:0051213]; DNA binding [GO:0003677]; histone demethylase activity (H3-trimethyl-K4 specific) [GO:0034647]; metal ion binding [GO:0046872]; methyltransferase activity [GO:0008168]; methylation [GO:0032259]	GO:0003677; GO:0005634; GO:0008168; GO:0032259; GO:0034647; GO:0046872; GO:0051213
XP_031549373.1	A0A6P8H128	A0A6P8H128_ACTTE	unreviewed	RuvB-like helicase (EC 3.6.4.12)	LOC116286919	Actinia tenebrosa (Australian red waratah sea anemone)	471	Ino80 complex [GO:0031011]; NuA4 histone acetyltransferase complex [GO:0035267]; R2TP complex [GO:0097255]; 5'-3' DNA helicase activity [GO:0043139]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0140603]	GO:0005524; GO:0031011; GO:0035267; GO:0043139; GO:0097255; GO:0140603
YP_009239111.1	A0A2Z1FC18	A0A2Z1FC18_PORLU	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	COX1	Porites lutea (Hump coral)	523	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; electron transport coupled proton transport [GO:0015990]; oxidative phosphorylation [GO:0006119]	GO:0004129; GO:0005743; GO:0006119; GO:0015990; GO:0016021; GO:0020037; GO:0045277; GO:0046872
XP_031565143.1	A0A6P8IAH4	A0A6P8IAH4_ACTTE	unreviewed	rap guanine nucleotide exchange factor 6-like	LOC116300410	Actinia tenebrosa (Australian red waratah sea anemone)	1352	guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase mediated signal transduction [GO:0007264]	GO:0005085; GO:0007264
XP_031574706.1	A0A6P8J3W7	A0A6P8J3W7_ACTTE	unreviewed	complement C2-like	LOC116308431	Actinia tenebrosa (Australian red waratah sea anemone)	852	extracellular region [GO:0005576]; serine-type endopeptidase activity [GO:0004252]; complement activation [GO:0006956]	GO:0004252; GO:0005576; GO:0006956
YP_009034322.1	A0A059V7R5	A0A059V7R5_9CNID	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	COX1	Porites panamensis	525	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidative phosphorylation [GO:0006119]	GO:0004129; GO:0005743; GO:0006119; GO:0016021; GO:0020037; GO:0045277; GO:0046872
XP_009054961.1	V4AL16	V4AL16_LOTGI	unreviewed	Uncharacterized protein (Fragment)	LOTGIDRAFT_71188	Lottia gigantea (Giant owl limpet)	3023		
XP_003104637.1	E3MGR6	E3MGR6_CAERE	unreviewed	FTH domain-containing protein	CRE_23435	Caenorhabditis remanei (Caenorhabditis vulgaris)	375		
XP_031573739.1	A0A6P8J2F1	A0A6P8J2F1_ACTTE	unreviewed	uncharacterized protein LOC116307611	LOC116307611	Actinia tenebrosa (Australian red waratah sea anemone)	261		
XP_031573768.1	A0A6P8J7G3	A0A6P8J7G3_ACTTE	unreviewed	fibrillin-2-like	LOC116307635	Actinia tenebrosa (Australian red waratah sea anemone)	2385	calcium ion binding [GO:0005509]	GO:0005509
XP_019624360.1	A0A6P4Y5T2	A0A6P4Y5T2_BRABE	unreviewed	histone H3-like	LOC109470021	Branchiostoma belcheri (Amphioxus)	252	nucleosome [GO:0000786]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]	GO:0000786; GO:0003677; GO:0046982
XP_009045815.1	V4CM94	V4CM94_LOTGI	unreviewed	Uncharacterized protein	LOTGIDRAFT_171372	Lottia gigantea (Giant owl limpet)	296	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074
XP_001623651.1	A7SXL5	A7SXL5_NEMVE	unreviewed	Predicted protein	v1g194582	Nematostella vectensis (Starlet sea anemone)	322	amine-lyase activity [GO:0016843]; cellular amino acid metabolic process [GO:0006520]; pyridoxal phosphate biosynthetic process [GO:0042823]; pyridoxine biosynthetic process [GO:0008615]	GO:0006520; GO:0008615; GO:0016843; GO:0042823
XP_026725439.1	A0A7E5VAY3	A0A7E5VAY3_TRINI	unreviewed	mucin-2-like isoform X3	LOC113492251	Trichoplusia ni (Cabbage looper)	4269		
XP_019639772.1	A0A6P5A8X0	A0A6P5A8X0_BRABE	unreviewed	fibrillin-1-like	LOC109481633	Branchiostoma belcheri (Amphioxus)	1717	calcium ion binding [GO:0005509]	GO:0005509
XP_031570160.1	A0A6P8IVM1	A0A6P8IVM1_ACTTE	unreviewed	uncharacterized protein C20orf194-like	LOC116304552	Actinia tenebrosa (Australian red waratah sea anemone)	886		
XP_031558841.1	A0A6P8HTT4	A0A6P8HTT4_ACTTE	unreviewed	uncharacterized protein LOC116295218	LOC116295218	Actinia tenebrosa (Australian red waratah sea anemone)	905	cysteine-type peptidase activity [GO:0008234]	GO:0008234
XP_019633608.1	A0A6P4ZAA9	A0A6P4ZAA9_BRABE	unreviewed	tripartite motif-containing protein 2-like	LOC109477029	Branchiostoma belcheri (Amphioxus)	674	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270
XP_031549388.1	A0A6P8H144	A0A6P8H144_ACTTE	unreviewed	uncharacterized protein LOC116286933	LOC116286933	Actinia tenebrosa (Australian red waratah sea anemone)	528		
XP_031564790.1	A0A6P8IEV0	A0A6P8IEV0_ACTTE	unreviewed	uncharacterized protein LOC116300143	LOC116300143	Actinia tenebrosa (Australian red waratah sea anemone)	667		
XP_001482505.1	A5DQH4	A5DQH4_PICGU	unreviewed	Uncharacterized protein	PGUG_05525	Meyerozyma guilliermondii (strain ATCC 6260 / CBS 566 / DSM 6381 / JCM 1539 / NBRC 10279 / NRRL Y-324) (Yeast) (Candida guilliermondii)	139		
XP_001637219.1	A7RTW3	A7RTW3_NEMVE	unreviewed	Predicted protein	v1g162648	Nematostella vectensis (Starlet sea anemone)	423	clathrin adaptor complex [GO:0030131]; clathrin-coated vesicle [GO:0030136]; cytoplasmic vesicle [GO:0031410]; intracellular membrane-bounded organelle [GO:0043231]; clathrin adaptor activity [GO:0035615]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]	GO:0006886; GO:0016192; GO:0030131; GO:0030136; GO:0031410; GO:0035615; GO:0043231
XP_031562777.1	A0A6P8IBE5	A0A6P8IBE5_ACTTE	unreviewed	enoyl-CoA hydratase, mitochondrial-like	LOC116298439	Actinia tenebrosa (Australian red waratah sea anemone)	294	catalytic activity [GO:0003824]	GO:0003824
XP_031551589.1	A0A6P8H5E4	A0A6P8H5E4_ACTTE	unreviewed	cilia- and flagella-associated protein 57-like	LOC116288863	Actinia tenebrosa (Australian red waratah sea anemone)	1216	motile cilium [GO:0031514]	GO:0031514
XP_031550168.1	A0A6P8H3J4	A0A6P8H3J4_ACTTE	unreviewed	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like	LOC116287626	Actinia tenebrosa (Australian red waratah sea anemone)	2737	extracellular region [GO:0005576]; peptidase inhibitor activity [GO:0030414]; serine-type endopeptidase activity [GO:0004252]	GO:0004252; GO:0005576; GO:0030414
XP_004356613.1	L8HJ46	L8HJ46_ACACA	unreviewed	RNA polymerase Rpb1 repeat containing protein	ACA1_173410	Acanthamoeba castellanii str. Neff	2211	integral component of membrane [GO:0016021]	GO:0016021
XP_031563655.1	A0A6P8IDP3	A0A6P8IDP3_ACTTE	unreviewed	carbohydrate sulfotransferase 3-like	LOC116299163	Actinia tenebrosa (Australian red waratah sea anemone)	413	sulfotransferase activity [GO:0008146]	GO:0008146
XP_031560606.1	A0A6P8HZ90	A0A6P8HZ90_ACTTE	unreviewed	uncharacterized protein LOC116296688	LOC116296688	Actinia tenebrosa (Australian red waratah sea anemone)	1075		
XP_031551143.1	A0A6P8H729	A0A6P8H729_ACTTE	unreviewed	uncharacterized protein LOC116288486	LOC116288486	Actinia tenebrosa (Australian red waratah sea anemone)	491	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074
XP_001624022.1	A7SWK0	A7SWK0_NEMVE	unreviewed	Predicted protein	v1g218593	Nematostella vectensis (Starlet sea anemone)	110	precatalytic spliceosome [GO:0071011]; U12-type spliceosomal complex [GO:0005689]; U2 snRNP [GO:0005686]; mRNA splicing, via spliceosome [GO:0000398]	GO:0000398; GO:0005686; GO:0005689; GO:0071011
XP_001638605.1	A7RPP2	A7RPP2_NEMVE	unreviewed	Predicted protein	v1g161317	Nematostella vectensis (Starlet sea anemone)	580		
XP_013384971.1	A0A1S3HHK9	A0A1S3HHK9_LINUN	unreviewed	collagen alpha-1(IV) chain	LOC106154947	Lingula unguis	2523	collagen trimer [GO:0005581]; calcium ion binding [GO:0005509]	GO:0005509; GO:0005581
XP_033309169.1	A0A6P8MIF8	A0A6P8MIF8_9HYME	unreviewed	collagen alpha-5(IV) chain-like	LOC117210337	Bombus bifarius	2095	collagen trimer [GO:0005581]; structural constituent of cuticle [GO:0042302]	GO:0005581; GO:0042302
XP_031553469.1	A0A6P8HAI4	A0A6P8HAI4_ACTTE	unreviewed	uncharacterized protein LOC116290552	LOC116290552	Actinia tenebrosa (Australian red waratah sea anemone)	718	ubiquitin-protein transferase activity [GO:0004842]	GO:0004842
XP_013380008.1	A0A1S3H1W1	A0A1S3H1W1_LINUN	unreviewed	transmembrane protein 229A	LOC106151334	Lingula unguis	193	integral component of membrane [GO:0016021]	GO:0016021
XP_031573646.1	A0A6P8J176	A0A6P8J176_ACTTE	unreviewed	E3 ubiquitin-protein ligase Topors-like	LOC116307514	Actinia tenebrosa (Australian red waratah sea anemone)	689	metal ion binding [GO:0046872]	GO:0046872
XP_001313281.1	A2F3Z8	A2F3Z8_TRIVA	unreviewed	Ankyrin repeat protein, putative	TVAG_407010	Trichomonas vaginalis	930		
XP_031571103.1	A0A6P8IYS8	A0A6P8IYS8_ACTTE	unreviewed	uncharacterized protein LOC116305346	LOC116305346	Actinia tenebrosa (Australian red waratah sea anemone)	247	endonuclease activity [GO:0004519]	GO:0004519
XP_031572242.1	A0A6P8IYJ4	A0A6P8IYJ4_ACTTE	unreviewed	uncharacterized protein LOC116306341 isoform X1	LOC116306341	Actinia tenebrosa (Australian red waratah sea anemone)	111		
XP_001640436.1	A7RJG4	A7RJG4_NEMVE	unreviewed	Predicted protein	v1g159483	Nematostella vectensis (Starlet sea anemone)	136	nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]	GO:0000786; GO:0003677; GO:0005634; GO:0046982
XP_031558091.1	A0A6P8HR84	A0A6P8HR84_ACTTE	unreviewed	uncharacterized protein LOC116294599	LOC116294599	Actinia tenebrosa (Australian red waratah sea anemone)	390	integral component of membrane [GO:0016021]	GO:0016021
XP_031560662.1	A0A6P8I6K1	A0A6P8I6K1_ACTTE	unreviewed	10 kDa heat shock protein, mitochondrial (Chaperonin 10)	LOC116296732	Actinia tenebrosa (Australian red waratah sea anemone)	101	ATP binding [GO:0005524]; protein folding [GO:0006457]	GO:0005524; GO:0006457
XP_030062256.1	A0A6P7YBF3	A0A6P7YBF3_9AMPH	unreviewed	collagen alpha-1(VII) chain isoform X3	COL7A1	Microcaecilia unicolor	2866	collagen trimer [GO:0005581]; serine-type endopeptidase inhibitor activity [GO:0004867]; cell adhesion [GO:0007155]	GO:0004867; GO:0005581; GO:0007155
XP_031561333.1	A0A6P8I0S5	A0A6P8I0S5_ACTTE	unreviewed	uncharacterized protein LOC116297276	LOC116297276	Actinia tenebrosa (Australian red waratah sea anemone)	978		
XP_031561890.1	A0A6P8IAZ6	A0A6P8IAZ6_ACTTE	unreviewed	uncharacterized protein LOC116297747	LOC116297747	Actinia tenebrosa (Australian red waratah sea anemone)	1125	vesicle-mediated transport [GO:0016192]	GO:0016192
XP_003382650.1	A0A1X7VVC0	A0A1X7VVC0_AMPQE	unreviewed	TCTP domain-containing protein	100640396	Amphimedon queenslandica (Sponge)	172		
XP_031564035.1	A0A6P8IE52	A0A6P8IE52_ACTTE	unreviewed	uncharacterized protein LOC116299516	LOC116299516	Actinia tenebrosa (Australian red waratah sea anemone)	673	hydrolase activity [GO:0016787]	GO:0016787
XP_031559086.1	A0A6P8HUN6	A0A6P8HUN6_ACTTE	unreviewed	collagen alpha-1(I) chain-like	LOC116295430	Actinia tenebrosa (Australian red waratah sea anemone)	1457	collagen trimer [GO:0005581]; extracellular region [GO:0005576]; extracellular matrix structural constituent [GO:0005201]; peptidase inhibitor activity [GO:0030414]	GO:0005201; GO:0005576; GO:0005581; GO:0030414
XP_031560584.1	A0A6P8HVZ4	A0A6P8HVZ4_ACTTE	unreviewed	putative beta-lactamase-like 1	LOC116296668	Actinia tenebrosa (Australian red waratah sea anemone)	583	integral component of membrane [GO:0016021]	GO:0016021
XP_031552387.1	A0A6P8HIC3	A0A6P8HIC3_ACTTE	unreviewed	RuvB-like helicase (EC 3.6.4.12)	LOC116289581	Actinia tenebrosa (Australian red waratah sea anemone)	455	Ino80 complex [GO:0031011]; NuA4 histone acetyltransferase complex [GO:0035267]; R2TP complex [GO:0097255]; 5'-3' DNA helicase activity [GO:0043139]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0140603]	GO:0005524; GO:0031011; GO:0035267; GO:0043139; GO:0097255; GO:0140603
XP_001632930.1	A7S629	A7S629_NEMVE	unreviewed	Ferrochelatase (EC 4.99.1.1)	v1g186132	Nematostella vectensis (Starlet sea anemone)	407	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; ferrochelatase activity [GO:0004325]; heme biosynthetic process [GO:0006783]	GO:0004325; GO:0005739; GO:0005743; GO:0006783
XP_031572359.1	A0A6P8IYW0	A0A6P8IYW0_ACTTE	unreviewed	E3 ubiquitin-protein ligase (EC 2.3.2.27)	LOC116306430	Actinia tenebrosa (Australian red waratah sea anemone)	278	cytoplasm [GO:0005737]; transferase activity [GO:0016740]; zinc ion binding [GO:0008270]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0005737; GO:0006511; GO:0008270; GO:0016567; GO:0016740
XP_031552550.1	A0A6P8HIX6	A0A6P8HIX6_ACTTE	unreviewed	uncharacterized protein LOC116289750	LOC116289750	Actinia tenebrosa (Australian red waratah sea anemone)	443		
XP_031559892.1	A0A6P8I4R0	A0A6P8I4R0_ACTTE	unreviewed	uncharacterized protein LOC116296078	LOC116296078	Actinia tenebrosa (Australian red waratah sea anemone)	441	DNA integration [GO:0015074]	GO:0015074
XP_031563772.1	A0A6P8ICY6	A0A6P8ICY6_ACTTE	unreviewed	ATP synthase subunit alpha	LOC116299282	Actinia tenebrosa (Australian red waratah sea anemone)	554	proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	GO:0005524; GO:0045261; GO:0046933
XP_013247138.1	U6GW31	U6GW31_EIMAC	unreviewed	Uncharacterized protein	EAH_00043820	Eimeria acervulina (Coccidian parasite)	1109		
XP_031574539.1	A0A6P8J4H3	A0A6P8J4H3_ACTTE	unreviewed	5-hydroxytryptamine receptor 1A-beta-like	LOC116308292	Actinia tenebrosa (Australian red waratah sea anemone)	322	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021
XP_013885517.1	A0A2I4CZU5	A0A2I4CZU5_9TELE	unreviewed	collagen alpha-1(XXVII) chain A-like	LOC106533657	Austrofundulus limnaeus	1763	collagen trimer [GO:0005581]; extracellular matrix structural constituent [GO:0005201]	GO:0005201; GO:0005581
XP_031566446.1	A0A6P8IHX0	A0A6P8IHX0_ACTTE	unreviewed	octopamine receptor beta-2R-like	LOC116301514	Actinia tenebrosa (Australian red waratah sea anemone)	307	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021
XP_001630160.1	A7SDZ2	A7SDZ2_NEMVE	unreviewed	PRKCA-binding protein (Protein interacting with C kinase 1) (Protein kinase C-alpha-binding protein)	v1g235323	Nematostella vectensis (Starlet sea anemone)	371	cytoskeleton [GO:0005856]; neuron projection [GO:0043005]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; synapse [GO:0045202]; trans-Golgi network membrane [GO:0032588]; actin binding [GO:0003779]; phospholipid binding [GO:0005543]; protein domain specific binding [GO:0019904]; protein kinase C binding [GO:0005080]; intracellular protein transport [GO:0006886]; positive regulation of receptor internalization [GO:0002092]; receptor clustering [GO:0043113]; regulation of Arp2/3 complex-mediated actin nucleation [GO:0034315]	GO:0002092; GO:0003779; GO:0005080; GO:0005543; GO:0005856; GO:0005886; GO:0006886; GO:0019904; GO:0032588; GO:0034315; GO:0043005; GO:0043113; GO:0045202; GO:0048471
XP_030042299.1	A0A6P7WWL2	A0A6P7WWL2_9AMPH	unreviewed	uncharacterized protein LOC115457014	LOC115457014	Microcaecilia unicolor	2745	integral component of membrane [GO:0016021]	GO:0016021
XP_009056277.1	V4AD85	V4AD85_LOTGI	unreviewed	Peptidase M12B domain-containing protein	LOTGIDRAFT_162093	Lottia gigantea (Giant owl limpet)	1560	integral component of membrane [GO:0016021]; metalloendopeptidase activity [GO:0004222]	GO:0004222; GO:0016021
XP_031549080.1	A0A6P8H9D5	A0A6P8H9D5_ACTTE	unreviewed	uncharacterized protein LOC116286655	LOC116286655	Actinia tenebrosa (Australian red waratah sea anemone)	152		
XP_031573300.1	A0A6P8J8E5	A0A6P8J8E5_ACTTE	unreviewed	uncharacterized protein LOC116307276 isoform X1	LOC116307276	Actinia tenebrosa (Australian red waratah sea anemone)	813		
XP_029309266.1	A0A6J2RGD8	A0A6J2RGD8_COTGO	unreviewed	craniofacial development protein 2-like	LOC115022430	Cottoperca gobio (Frogmouth) (Aphritis gobio)	400	catalytic activity [GO:0003824]	GO:0003824
XP_001637338.1	A7RTJ4	A7RTJ4_NEMVE	unreviewed	Predicted protein	v1g162513	Nematostella vectensis (Starlet sea anemone)	662	SAGA complex [GO:0000124]; SLIK (SAGA-like) complex [GO:0046695]; transcription factor TFIID complex [GO:0005669]; protein heterodimerization activity [GO:0046982]; RNA polymerase II general transcription initiation factor activity [GO:0016251]; transcription coactivator activity [GO:0003713]; histone acetylation [GO:0016573]; positive regulation of transcription by RNA polymerase II [GO:0045944]; transcription initiation from RNA polymerase II promoter [GO:0006367]	GO:0000124; GO:0003713; GO:0005669; GO:0006367; GO:0016251; GO:0016573; GO:0045944; GO:0046695; GO:0046982
XP_013402408.1	A0A1S3IWG9	A0A1S3IWG9_LINUN	unreviewed	fibrillin-1-like	LOC106168031	Lingula unguis	1621	extracellular region [GO:0005576]	GO:0005576
XP_031549243.1	A0A6P8H0M9	A0A6P8H0M9_ACTTE	unreviewed	Ubiquitinyl hydrolase 1 (EC 3.4.19.12)	LOC116286800	Actinia tenebrosa (Australian red waratah sea anemone)	2526	thiol-dependent deubiquitinase [GO:0004843]; protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0004843; GO:0006511; GO:0016579
XP_031574988.1	A0A6P8JBC0	A0A6P8JBC0_ACTTE	unreviewed	uncharacterized protein LOC116308651	LOC116308651	Actinia tenebrosa (Australian red waratah sea anemone)	426	dioxygenase activity [GO:0051213]; metal ion binding [GO:0046872]; carnitine biosynthetic process [GO:0045329]	GO:0045329; GO:0046872; GO:0051213
XP_031572062.1	A0A6P8IY33	A0A6P8IY33_ACTTE	unreviewed	Hexosyltransferase (EC 2.4.1.-)	LOC116306154	Actinia tenebrosa (Australian red waratah sea anemone)	377	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; hexosyltransferase activity [GO:0016758]; protein glycosylation [GO:0006486]	GO:0000139; GO:0006486; GO:0016021; GO:0016758
XP_001309767.1	A2FE09	A2FE09_TRIVA	unreviewed	Ankyrin repeat protein, putative	TVAG_470020	Trichomonas vaginalis	948		
XP_017988872.1	A0A0X8HUR0	A0A0X8HUR0_9SACH	unreviewed	HFR021Wp	AW171_hschr63863	Eremothecium sinecaudum	2638		
XP_031565741.1	A0A6P8IGA8	A0A6P8IGA8_ACTTE	unreviewed	60S ribosomal protein L4-like	LOC116300912	Actinia tenebrosa (Australian red waratah sea anemone)	359	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412
XP_001638294.1	A7RQU9	A7RQU9_NEMVE	unreviewed	Cytoplasmic creatine kinase protein (Predicted protein)	cytoplasmic creatine kinase v1g234345	Nematostella vectensis (Starlet sea anemone)	376	extracellular space [GO:0005615]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; kinase activity [GO:0016301]; phosphocreatine biosynthetic process [GO:0046314]	GO:0004111; GO:0005524; GO:0005615; GO:0016301; GO:0046314
XP_001638561.1	A7RQ49	A7RQ49_NEMVE	unreviewed	Predicted protein	v1g239910	Nematostella vectensis (Starlet sea anemone)	178	extracellular region [GO:0005576]	GO:0005576
XP_001624482.1	A7SV96	A7SV96_NEMVE	unreviewed	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	v1g247608	Nematostella vectensis (Starlet sea anemone)	441	cytoplasm [GO:0005737]; adenylosuccinate synthase activity [GO:0004019]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; 'de novo' AMP biosynthetic process [GO:0044208]; IMP metabolic process [GO:0046040]	GO:0000287; GO:0004019; GO:0005525; GO:0005737; GO:0044208; GO:0046040
XP_031557853.1	A0A6P8HRU7	A0A6P8HRU7_ACTTE	unreviewed	Purple acid phosphatase (EC 3.1.3.2)	LOC116294395	Actinia tenebrosa (Australian red waratah sea anemone)	506	acid phosphatase activity [GO:0003993]; metal ion binding [GO:0046872]	GO:0003993; GO:0046872
XP_015778752.1	A0A0A8K7M8	A0A0A8K7M8_ACRDI	unreviewed	Orthodenticle homeobox C protein	AdiOtxC	Acropora digitifera (Staghorn coral)	203	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]	GO:0000981; GO:0003677; GO:0005634
XP_031572966.1	A0A6P8IZJ7	A0A6P8IZJ7_ACTTE	unreviewed	NADPH-dependent pterin aldehyde reductase-like	LOC116306969	Actinia tenebrosa (Australian red waratah sea anemone)	238	oxidoreductase activity [GO:0016491]	GO:0016491
XP_031561988.1	A0A6P8I2F3	A0A6P8I2F3_ACTTE	unreviewed	protein LONG AFTER FAR-RED 3-like	LOC116297822	Actinia tenebrosa (Australian red waratah sea anemone)	570	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]	GO:0016810
